N.º Serie,Tipo,Material,Ubicacion,Carac,,Nombre Calle,Altura,Letra,Bis,,Coordenada X,Coordenada Y,Zona,,ID,Alta,Baja
6100,Columna,Acero,En Calle,CARAC: 00,,CORTAZAR JULIO,61,,,,5440163.980197759,6356006.47838287,Alumbrado Zona 2,Dado de Baja,457709,05-01-2021,13-08-2026
5100,Columna,Acero,En Calle,CARAC: 00,,CORTAZAR JULIO,51,,,,5440157.994917809,6355998.33210519,Alumbrado Zona 2,Dado de Baja,457708,05-01-2021,13-08-2026
3100,Columna,Acero,En Calle,CARAC: 00,,CORTAZAR JULIO,31,,,,5440146.024357908,6355982.039549831,Alumbrado Zona 2,Dado de Baja,457706,05-01-2021,13-08-2026
1100,Columna,Acero,En Calle,CARAC: 00,,CORTAZAR JULIO,11,,,,5440137.86,6355963.85,Alumbrado Zona 2,Dado de Baja,457704,05-01-2021,13-08-2026
89100,Columna,Acero,En Calle,CARAC: 00,,ESTEVEZ BOERO GUILLERMO,891,,,,5440857.805102041,6355418.464081633,Alumbrado Zona 2,Dado de Baja,457690,05-01-2021,13-08-2026
88100,Columna,Acero,En Calle,CARAC: 00,,ESTEVEZ BOERO GUILLERMO,881,,,,5440868.798979592,6355405.769183674,Alumbrado Zona 2,Dado de Baja,457689,05-01-2021,13-08-2026
86100,Columna,Acero,En Calle,CARAC: 00,,ESTEVEZ BOERO GUILLERMO,861,,,,5440890.786734694,6355380.379387755,Alumbrado Zona 2,Dado de Baja,457688,05-01-2021,13-08-2026
85100,Columna,Acero,En Calle,CARAC: 00,,ESTEVEZ BOERO GUILLERMO,851,,,,5440901.780612245,6355367.684489796,Alumbrado Zona 2,Dado de Baja,457687,05-01-2021,13-08-2026
84100,Columna,Acero,En Calle,CARAC: 00,,ESTEVEZ BOERO GUILLERMO,841,,,,5440912.774489796,6355354.989591837,Alumbrado Zona 2,Dado de Baja,457686,05-01-2021,13-08-2026
82100,Columna,Acero,En Calle,CARAC: 00,,ESTEVEZ BOERO GUILLERMO,821,,,,5440934.762244898,6355329.599795918,Alumbrado Zona 2,Dado de Baja,457685,05-01-2021,13-08-2026
81100,Columna,Acero,En Calle,CARAC: 00,,ESTEVEZ BOERO GUILLERMO,811,,,,5440945.756122449,6355316.904897959,Alumbrado Zona 2,Dado de Baja,457684,05-01-2021,13-08-2026
78100,Columna,Acero,En Calle,CARAC: 00,,ESTEVEZ BOERO GUILLERMO,781,,,,5440976.4985714285,6355279.673061225,Alumbrado Zona 2,Dado de Baja,457683,05-01-2021,13-08-2026
76100,Columna,Acero,En Calle,CARAC: 00,,ESTEVEZ BOERO GUILLERMO,761,,,,5440998.441428571,6355252.4097959185,Alumbrado Zona 2,Dado de Baja,457682,05-01-2021,13-08-2026
74100,Columna,Acero,En Calle,CARAC: 00,,ESTEVEZ BOERO GUILLERMO,741,,,,5441020.3842857145,6355225.146530612,Alumbrado Zona 2,Dado de Baja,457681,05-01-2021,13-08-2026
72100,Columna,Acero,En Calle,CARAC: 00,,ESTEVEZ BOERO GUILLERMO,721,,,,5441042.327142857,6355197.883265306,Alumbrado Zona 2,Dado de Baja,457680,05-01-2021,13-08-2026
69100,Columna,Acero,En Calle,CARAC: 00,,ESTEVEZ BOERO GUILLERMO,691,,,,5441072.932969686,6355158.964591938,Alumbrado Zona 2,Dado de Baja,457679,05-01-2021,13-08-2026
68100,Columna,Acero,En Calle,CARAC: 00,,ESTEVEZ BOERO GUILLERMO,681,,,,5441083.983996388,6355144.562107429,Alumbrado Zona 2,Dado de Baja,457678,05-01-2021,13-08-2026
67100,Columna,Acero,En Calle,CARAC: 00,,ESTEVEZ BOERO GUILLERMO,671,,,,5441095.0350230895,6355130.15962292,Alumbrado Zona 2,Dado de Baja,457677,05-01-2021,13-08-2026
66100,Columna,Acero,En Calle,CARAC: 00,,ESTEVEZ BOERO GUILLERMO,661,,,,5441106.113971917,6355115.778719402,Alumbrado Zona 2,Dado de Baja,457676,05-01-2021,13-08-2026
64100,Columna,Acero,En Calle,CARAC: 00,,ESTEVEZ BOERO GUILLERMO,641,,,,5441128.417964544,6355087.129829063,Alumbrado Zona 2,Dado de Baja,457675,05-01-2021,13-08-2026
63100,Columna,Acero,En Calle,CARAC: 00,,ESTEVEZ BOERO GUILLERMO,631,,,,5441139.569960858,6355072.805383893,Alumbrado Zona 2,Dado de Baja,457674,05-01-2021,13-08-2026
62100,Columna,Acero,En Calle,CARAC: 00,,ESTEVEZ BOERO GUILLERMO,621,,,,5441150.704275574,6355058.467569947,Alumbrado Zona 2,Dado de Baja,457673,05-01-2021,13-08-2026
61100,Columna,Acero,En Calle,CARAC: 00,,ESTEVEZ BOERO GUILLERMO,611,,,,5441161.447137787,6355043.833784974,Alumbrado Zona 2,Dado de Baja,457672,05-01-2021,13-08-2026
58100,Columna,Acero,En Calle,CARAC: 00,,ESTEVEZ BOERO GUILLERMO,581,,,,5441189.46130462,6355008.128811988,Alumbrado Zona 2,Dado de Baja,457671,05-01-2021,13-08-2026
56100,Columna,Acero,En Calle,CARAC: 00,,ESTEVEZ BOERO GUILLERMO,561,,,,5441206.903260192,6354983.387999851,Alumbrado Zona 2,Dado de Baja,457670,05-01-2021,13-08-2026
54100,Columna,Acero,En Calle,CARAC: 00,,ESTEVEZ BOERO GUILLERMO,541,,,,5441224.1770727495,6354958.52787885,Alumbrado Zona 2,Dado de Baja,457669,05-01-2021,13-08-2026
52100,Columna,Acero,En Calle,CARAC: 00,,ESTEVEZ BOERO GUILLERMO,521,,,,5441241.164023824,6354933.472019965,Alumbrado Zona 2,Dado de Baja,457668,05-01-2021,13-08-2026
18100,Columna,Acero,En Calle,CARAC: 00,,DE ARANA  Y  GOIRI SABINO,181,,,,5440357.812857143,6355794.088571428,Alumbrado Zona 2,Dado de Baja,457657,05-01-2021,13-08-2026
16100,Columna,Acero,En Calle,CARAC: 00,,DE ARANA  Y  GOIRI SABINO,161,,,,5440360.527142857,6355807.131428571,Alumbrado Zona 2,Dado de Baja,457656,05-01-2021,13-08-2026
14100,Columna,Acero,En Calle,CARAC: 00,,DE ARANA  Y  GOIRI SABINO,141,,,,5440363.241428572,6355820.174285714,Alumbrado Zona 2,Dado de Baja,457655,05-01-2021,13-08-2026
12100,Columna,Acero,En Calle,CARAC: 00,,DE ARANA  Y  GOIRI SABINO,121,,,,5440365.955714285,6355833.217142857,Alumbrado Zona 2,Dado de Baja,457654,05-01-2021,13-08-2026
