Nº de serie,Tipo,Clasificación,Tipo de ubicación,Descripción,Tipo de ubicación,Lugar asociado,Ubicación: Calle,Ubicación: Altura,Ubicación: Letra,Ubicación: Bis,Ubicación: Intersección,Ubicación: Coordenada X,Ubicación: Coordenada Y,Responsable,Dirección,Secretaría,Estado,ID,Fecha alta,Fecha baja,Archivo imagen,
118559,Lámpara,Led - 16,En Transversal - En Espacios Verdes,CARAC:59,En Transversal - En Espacios Verdes,,FRAGA CNEL. ROSENDO MARIA,1185,,Bis,,5433431.664285714,6358418.225714286,Alumbrado Zona 1,Alumbrado Público,Ambiente y Espacio Público,En Servicio,516873,27-07-2026,,,
118559,Lámpara,Led - 16,En Transversal - En Espacios Verdes,CARAC:59,En Transversal - En Espacios Verdes,,FRAGA CNEL. ROSENDO MARIA,1185,,Bis,,5433431.664285714,6358418.225714286,Alumbrado Zona 1,Alumbrado Público,Ambiente y Espacio Público,En Servicio,516872,27-07-2026,,,
116059,Lámpara,Led - 16,En Transversal - En Espacios Verdes,CARAC:59,En Transversal - En Espacios Verdes,,FRAGA CNEL. ROSENDO MARIA,1160,,Bis,,5433432.822916666,6358387.618125,Alumbrado Zona 1,Alumbrado Público,Ambiente y Espacio Público,En Servicio,516871,27-07-2026,,,
116059,Lámpara,Led - 16,En Transversal - En Espacios Verdes,CARAC:59,En Transversal - En Espacios Verdes,,FRAGA CNEL. ROSENDO MARIA,1160,,Bis,,5433432.822916666,6358387.618125,Alumbrado Zona 1,Alumbrado Público,Ambiente y Espacio Público,En Servicio,516870,27-07-2026,,,
649058,Lámpara,Led - 16,En Transversal - En Espacios Verdes,CARAC:58,En Transversal - En Espacios Verdes,,JUSTO JUAN B,6490,,,,5433442.405789473,6358435.9605263155,Alumbrado Zona 1,Alumbrado Público,Ambiente y Espacio Público,En Servicio,516869,27-07-2026,,,
649058,Lámpara,Led - 16,En Transversal - En Espacios Verdes,CARAC:58,En Transversal - En Espacios Verdes,,JUSTO JUAN B,6490,,,,5433442.405789473,6358435.9605263155,Alumbrado Zona 1,Alumbrado Público,Ambiente y Espacio Público,En Servicio,516868,27-07-2026,,,
647058,Lámpara,Led - 16,En Transversal - En Espacios Verdes,CARAC:58,En Transversal - En Espacios Verdes,,JUSTO JUAN B,6470,,,,5433470.895263158,6358437.086842106,Alumbrado Zona 1,Alumbrado Público,Ambiente y Espacio Público,En Servicio,516867,27-07-2026,,,
647058,Lámpara,Led - 16,En Transversal - En Espacios Verdes,CARAC:58,En Transversal - En Espacios Verdes,,JUSTO JUAN B,6470,,,,5433470.895263158,6358437.086842106,Alumbrado Zona 1,Alumbrado Público,Ambiente y Espacio Público,En Servicio,516866,27-07-2026,,,
645058,Lámpara,Led - 16,En Transversal - En Espacios Verdes,CARAC:58,En Transversal - En Espacios Verdes,,JUSTO JUAN B,6450,,,,5433500.232857143,6358438.244285715,Alumbrado Zona 1,Alumbrado Público,Ambiente y Espacio Público,En Servicio,516865,27-07-2026,,,
645058,Lámpara,Led - 16,En Transversal - En Espacios Verdes,CARAC:58,En Transversal - En Espacios Verdes,,JUSTO JUAN B,6450,,,,5433500.232857143,6358438.244285715,Alumbrado Zona 1,Alumbrado Público,Ambiente y Espacio Público,En Servicio,516864,27-07-2026,,,
118000,Lámpara,Led - 27,En Columna - En Calle,CARAC:00,En Columna - En Calle,,ROSA JOSE MARIA,1180,,,,5432373.457245767,6355481.427959741,Alumbrado Zona 1,Alumbrado Público,Ambiente y Espacio Público,En Servicio,516753,23-07-2026,,,
116000,Lámpara,Led - 27,En Columna - En Calle,CARAC:00,En Columna - En Calle,,ROSA JOSE MARIA,1160,,,,5432366.783642391,6355504.1679792525,Alumbrado Zona 1,Alumbrado Público,Ambiente y Espacio Público,En Servicio,516752,23-07-2026,,,
114000,Lámpara,Led - 27,En Columna - En Calle,CARAC:00,En Columna - En Calle,,ROSA JOSE MARIA,1140,,,,5432359.865096342,6355526.813392733,Alumbrado Zona 1,Alumbrado Público,Ambiente y Espacio Público,En Servicio,516751,23-07-2026,,,
156103,Lámpara,Sodio - 250,En Columna - En Calle,CARAC:03,En Columna - En Calle,,JUAN PABLO II,1561,A,,,5432526.850232496,6354879.8401473425,Alumbrado Zona 1,Alumbrado Público,Ambiente y Espacio Público,En Servicio,516733,22-07-2026,,,
154103,Lámpara,Sodio - 250,En Columna - En Calle,CARAC:03,En Columna - En Calle,,JUAN PABLO II,1541,A,,,5432523.77,6354975.68,Alumbrado Zona 1,Alumbrado Público,Ambiente y Espacio Público,En Servicio,516732,22-07-2026,,,
152103,Lámpara,Sodio - 250,En Columna - En Calle,CARAC:03,En Columna - En Calle,,JUAN PABLO II,1521,A,,,5432524.545,6354951.68,Alumbrado Zona 1,Alumbrado Público,Ambiente y Espacio Público,En Servicio,516731,22-07-2026,,,
